"Kaufdatum";"SKU";"Einheit";"St. Frei Betrag";"Einkauf Bemerkung";"Verkaufsdatum";"Verkaufsbetrag";"Verkauf Bemerkung";"Zu besteuernder Betrag";"Rechnung Nr."
"24.01.2026";"TG012043";"1/100oz";"52,29";"";"";"";"";"";""
"24.01.2026";"TG012043";"1/100oz";"52,29";"";"";"";"";"";""
"24.01.2026";"TG012043";"1/100oz";"52,29";"";"";"";"";"";""
"24.01.2026";"TG012043";"1/100oz";"52,29";"";"";"";"";"";""
"24.01.2026";"TG012043";"1/100oz";"52,29";"";"";"";"";"";""
"24.01.2026";"TG012043";"1/100oz";"52,29";"";"";"";"";"";""
"24.01.2026";"TG012043";"1/100oz";"52,29";"";"";"";"";"";""
"24.01.2026";"TG012043";"1/100oz";"52,29";"";"";"";"";"";""
"24.01.2026";"TG012043";"1/100oz";"52,29";"";"";"";"";"";""
"24.01.2026";"TG012043";"1/100oz";"52,29";"";"";"";"";"";""
"24.01.2026";"TG012043";"1/100oz";"52,29";"";"";"";"";"";""
"24.01.2026";"TG012043";"1/100oz";"52,29";"";"";"";"";"";""
"24.01.2026";"TG012043";"1/100oz";"52,29";"";"";"";"";"";""
"26.01.2026";"TG012051";"1oz";"4638,95";"auf Bestellung, vom Kunden kauf Abgebrochen (bevor wir selbst beim Händler bestellt haben).";"26.01.2026";"4638,95";"Hier Porto berechnet (49,95Euro)";"";"18436"
"26.01.2026";"TG012051";"1oz";"4589,00";"auf Bestellung, vom Kunden kauf Abgebrochen (bevor wir selbst beim Händler bestellt haben).";"26.01.2026";"4589,00";"Hier kein Porto berechnet";"";"18436"
"27.01.2026";"TG012061";"5g";"991,80";"auf Bestellung, vom Kunden kauf Abgebrochen (bevor wir selbst beim Händler bestellt haben).";"27.01.2026";"991,80";"Hier Gesamtporto Berechnung aus dieser Bestellung";"";"18440"
"27.01.2026";"TG012060";"2,5g";"412,00";"auf Bestellung, vom Kunden kauf Abgebrochen (bevor wir selbst beim Händler bestellt haben).";"27.01.2026";"412,00";"Hier kein Porto berechnet";"";"18440"
"27.01.2026";"TG012060";"2,5g";"412,00";"auf Bestellung, vom Kunden kauf Abgebrochen (bevor wir selbst beim Händler bestellt haben).";"27.01.2026";"412,00";"Hier kein Porto berechnet";"";"18440"
"27.01.2026";"TG012060";"2,5g";"412,00";"auf Bestellung, vom Kunden kauf Abgebrochen (bevor wir selbst beim Händler bestellt haben).";"27.01.2026";"412,00";"Hier kein Porto berechnet";"";"18440"
"27.01.2026";"TG012060";"2,5g";"412,00";"auf Bestellung, vom Kunden kauf Abgebrochen (bevor wir selbst beim Händler bestellt haben).";"27.01.2026";"412,00";"Hier kein Porto berechnet";"";"18440"
"27.01.2026";"TG012059";"2g";"339,00";"auf Bestellung, vom Kunden kauf Abgebrochen (bevor wir selbst beim Händler bestellt haben).";"27.01.2026";"339,00";"Hier kein Porto berechnet";"";"18440"
"27.01.2026";"TG012058";"1oz";"4649,00";"auf Bestellung, vom Kunden kauf Abgebrochen (bevor wir selbst beim Händler bestellt haben).";"27.01.2026";"4649,00";"Hier kein Porto berechnet";"";"18440"
"27.01.2026";"TG012054";"1g";"146,74";"C. Hafner EK Rechnungsnummer 9259568";"";"";"";"";""
"27.01.2026";"TG012054";"1g";"146,74";"C. Hafner EK Rechnungsnummer 9259568";"";"";"";"";""
"27.01.2026";"TG012054";"1g";"146,74";"C. Hafner EK Rechnungsnummer 9259568";"";"";"";"";""
"27.01.2026";"TG012054";"1g";"146,74";"C. Hafner EK Rechnungsnummer 9259568";"";"";"";"";""
"27.01.2026";"TG012054";"1g";"146,74";"C. Hafner EK Rechnungsnummer 9259568";"";"";"";"";""
"27.01.2026";"TG012054";"1g";"146,74";"C. Hafner EK Rechnungsnummer 9259568";"";"";"";"";""
"27.01.2026";"TG012053";"10g";"1389,75";"C. Hafner EK Rechnungsnummer 9259568";"01.03.2026";"1520,00";"TEST TEST TEST";"130,25";"878787"
"27.01.2026";"TG012053";"10g";"1389,75";"C. Hafner EK Rechnungsnummer 9259568";"";"";"";"";""
"27.01.2026";"TG012053";"10g";"1389,75";"C. Hafner EK Rechnungsnummer 9259568";"";"";"";"";""
"27.01.2026";"TG012053";"10g";"1389,75";"C. Hafner EK Rechnungsnummer 9259568";"28.01.2026";"1470,00";"";"80,25";"18444"
"27.01.2026";"TG012052";"5g";"699,70";"Hafner Rechnungsnummer 92595958";"";"";"";"";""
"27.01.2026";"TG012052";"5g";"699,70";"Hafner Rechnungsnummer 92595958";"";"";"";"";""
"27.01.2026";"TG012052";"5g";"699,70";"Hafner Rechnungsnummer 92595958";"";"";"";"";""
"27.01.2026";"TG012052";"5g";"699,70";"Hafner Rechnungsnummer 92595958";"";"";"";"";""
"27.01.2026";"TG012052";"5g";"699,70";"Hafner Rechnungsnummer 92595958";"27.01.2026";"750,00";"";"50,30";"18438"
"27.01.2026";"TG012052";"5g";"699,70";"Hafner Rechnungsnummer 92595958";"27.01.2026";"750,00";"";"50,30";"18438"
"28.01.2026";"AK000051";"";"105,00";"Ankauf: 1 - mit einem Gold-Anteil von 0,9g";"21.01.2026";"106,38";"Verkauf an die ESG: Vorgangsnummer 563447, Belegnummer 2026-3003080";"1,38";""
"04.02.2026";"TG012056";"1g";"150,83";"C. Hafner Einkaufsrechnungsnummer 92600250, 5Euro EK Porto wurden mitberechnet";"01.03.2026";"178,00";"Ein erster Test";"27,17";"0815007"
"04.02.2026";"TG012056";"1g";"150,83";"C. Hafner Einkaufsrechnungsnummer 92600250, 5Euro EK Porto wurden mitberechnet";"";"";"";"";""
"04.02.2026";"TG012055";"1oz";"4315,42";"C. Hafner Einkaufsrechnungsnummer 92600250, 10Euro EK Porto wurden mitberechnet";"";"";"";"";""
"05.02.2026";"TG012057";"1oz";"4126,91";"";"05.02.2026";"4300,00";"";"173,09";"18472"
